epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.8574,1.35211,1.13603,0.87086,0.7767,0.70603,0.74277,0.48178,1.08636,0.60649,0.83103,0.00041603,0.00041603,0.00041603
2,113.432,1.04242,0.58405,0.82334,0.83093,0.7816,0.83813,0.56311,0.94164,0.54265,0.81738,0.000816209,0.000816209,0.000816209
3,165.274,0.98219,0.51421,0.81793,0.87914,0.82059,0.85504,0.58057,0.91756,0.50455,0.81332,0.00119989,0.00119989,0.00119989
4,216.805,0.93665,0.47819,0.81333,0.89592,0.83661,0.8913,0.63963,0.85008,0.46067,0.8091,0.00117575,0.00117575,0.00117575
5,268.052,0.90878,0.46032,0.81024,0.91662,0.858,0.8991,0.63334,0.84749,0.4578,0.80573,0.001151,0.001151,0.001151
6,319.785,0.88051,0.44203,0.80786,0.91702,0.88314,0.92381,0.67356,0.83033,0.43512,0.80503,0.00112625,0.00112625,0.00112625
7,375.062,0.8707,0.43596,0.80605,0.90185,0.89641,0.92751,0.67613,0.80747,0.42347,0.8038,0.0011015,0.0011015,0.0011015
8,431.68,0.8545,0.42642,0.80533,0.91773,0.89919,0.93428,0.6865,0.79983,0.41637,0.80145,0.00107675,0.00107675,0.00107675
9,486.21,0.83646,0.41601,0.80433,0.93828,0.88647,0.93349,0.67811,0.79942,0.41711,0.80242,0.001052,0.001052,0.001052
10,538.552,0.83036,0.41174,0.80288,0.92973,0.89294,0.93485,0.69562,0.77019,0.3959,0.79958,0.00102725,0.00102725,0.00102725
11,589.87,0.81963,0.40559,0.8018,0.94761,0.89858,0.93429,0.68408,0.7733,0.39692,0.80007,0.0010025,0.0010025,0.0010025
12,641.818,0.80905,0.39959,0.80129,0.93113,0.89994,0.94175,0.69562,0.79831,0.4013,0.8011,0.00097775,0.00097775,0.00097775
13,693.751,0.79564,0.3931,0.80011,0.92788,0.90387,0.94052,0.69958,0.75881,0.38374,0.79874,0.000953,0.000953,0.000953
14,744.604,0.78869,0.38818,0.79883,0.94963,0.90062,0.94054,0.70953,0.74379,0.37448,0.7976,0.00092825,0.00092825,0.00092825
15,796.023,0.78777,0.3888,0.79907,0.9441,0.88959,0.93915,0.70088,0.75859,0.38713,0.79866,0.0009035,0.0009035,0.0009035
19,1022.8,0.76127,0.37381,0.79712,0.94494,0.91098,0.94739,0.71296,0.72246,0.35875,0.79547,0.0008045,0.0008045,0.0008045
20,1075.92,0.75911,0.37099,0.7968,0.96106,0.90725,0.946,0.71952,0.72548,0.35862,0.79555,0.00077975,0.00077975,0.00077975
21,1128.41,0.75066,0.3677,0.79605,0.95193,0.9198,0.94674,0.71815,0.71341,0.35574,0.79407,0.000755,0.000755,0.000755
22,1179.75,0.74813,0.36488,0.79534,0.96875,0.92202,0.95061,0.71924,0.70892,0.35146,0.79376,0.00073025,0.00073025,0.00073025
23,1231.72,0.73917,0.36148,0.79492,0.9592,0.93039,0.95188,0.72654,0.71226,0.34974,0.79428,0.0007055,0.0007055,0.0007055
24,1284.03,0.74047,0.36051,0.79464,0.95614,0.91783,0.95016,0.72696,0.71215,0.34956,0.79403,0.00068075,0.00068075,0.00068075
25,1335.16,0.73274,0.35756,0.79381,0.96527,0.91159,0.95182,0.72812,0.70753,0.34616,0.79373,0.000656,0.000656,0.000656
26,1387.25,0.72995,0.35489,0.79414,0.9609,0.92144,0.94927,0.73168,0.70111,0.34164,0.79298,0.00063125,0.00063125,0.00063125
27,1438.07,0.72638,0.35262,0.79411,0.96003,0.92977,0.95497,0.73432,0.69798,0.33956,0.79259,0.0006065,0.0006065,0.0006065
28,1489.59,0.72132,0.34958,0.79306,0.9687,0.91648,0.95521,0.73898,0.69649,0.34104,0.79247,0.00058175,0.00058175,0.00058175
29,1541.09,0.71891,0.34888,0.79332,0.97301,0.92597,0.95857,0.73761,0.68938,0.33771,0.79182,0.000557,0.000557,0.000557
30,1594.12,0.71569,0.34679,0.79295,0.95647,0.9356,0.95832,0.74149,0.69083,0.33459,0.7922,0.00053225,0.00053225,0.00053225
31,1647.43,0.71206,0.34393,0.79252,0.96968,0.93734,0.96041,0.74376,0.68603,0.33438,0.79159,0.0005075,0.0005075,0.0005075
32,1702.06,0.70672,0.3414,0.79267,0.97555,0.92067,0.96026,0.74673,0.68619,0.33246,0.79163,0.00048275,0.00048275,0.00048275
33,1754.41,0.70365,0.34033,0.79198,0.97452,0.92701,0.95851,0.74687,0.67979,0.32869,0.7913,0.000458,0.000458,0.000458
34,1806.41,0.7022,0.33914,0.79182,0.96373,0.93169,0.95831,0.74673,0.68282,0.32996,0.79118,0.00043325,0.00043325,0.00043325
35,1857.82,0.69664,0.33641,0.79089,0.96984,0.93914,0.96076,0.74394,0.67921,0.32975,0.79119,0.0004085,0.0004085,0.0004085
36,1908.38,0.69245,0.33355,0.79137,0.97142,0.93207,0.95745,0.74456,0.67327,0.32667,0.79072,0.00038375,0.00038375,0.00038375
37,1959.81,0.69057,0.33368,0.79157,0.97502,0.92487,0.95647,0.74796,0.67619,0.3269,0.79084,0.000359,0.000359,0.000359
38,2011.41,0.69079,0.33224,0.79126,0.97639,0.9308,0.95759,0.74948,0.66995,0.32366,0.79031,0.00033425,0.00033425,0.00033425
39,2063.76,0.68475,0.32972,0.79069,0.97155,0.9333,0.96031,0.74977,0.67047,0.32201,0.79006,0.0003095,0.0003095,0.0003095
40,2116.25,0.68134,0.32766,0.79065,0.97158,0.92997,0.96129,0.75203,0.67043,0.32252,0.79048,0.00028475,0.00028475,0.00028475
41,2190.28,0.6581,0.32255,0.7916,0.96561,0.93213,0.95884,0.74911,0.67012,0.32284,0.79019,0.00026,0.00026,0.00026
42,2240.5,0.64664,0.31669,0.79022,0.97504,0.93528,0.96117,0.74987,0.66844,0.32049,0.79015,0.00023525,0.00023525,0.00023525
43,2289.57,0.64216,0.31419,0.79008,0.96722,0.93765,0.96277,0.75257,0.66486,0.31963,0.78972,0.0002105,0.0002105,0.0002105
44,2340.01,0.63861,0.31106,0.79028,0.96525,0.94386,0.96563,0.7572,0.66492,0.31829,0.78987,0.00018575,0.00018575,0.00018575
45,2389.53,0.63126,0.30826,0.78998,0.96547,0.94278,0.96422,0.75453,0.65988,0.31566,0.78935,0.000161,0.000161,0.000161
46,2439.69,0.63118,0.30705,0.78839,0.96028,0.94563,0.96322,0.75584,0.65978,0.31526,0.78917,0.00013625,0.00013625,0.00013625
47,2490.2,0.62397,0.30406,0.78902,0.96345,0.94367,0.96439,0.76028,0.65897,0.31437,0.7892,0.0001115,0.0001115,0.0001115
48,2540.01,0.62023,0.30179,0.78808,0.98205,0.93195,0.96376,0.75909,0.65618,0.3133,0.78887,8.675e-05,8.675e-05,8.675e-05
49,2590.41,0.61742,0.29934,0.788,0.96695,0.94175,0.96396,0.76098,0.65545,0.31312,0.789,6.2e-05,6.2e-05,6.2e-05
50,2639.81,0.6132,0.29759,0.7881,0.96883,0.94043,0.96364,0.76143,0.65395,0.31247,0.78874,3.725e-05,3.725e-05,3.725e-05
